ENSEMBL_ID,B,CD4T,CD8Tex,CD8T,DC,Fibroblasts,Monocytes,Neutrophil,NK,Treg,PRAD,STAD,KICH,SKCM,DLBC,THCA,ESCA,PAAD,LUAD,UVM,COADREAD,KIRC,OV,GBM,CESC,CHOL,LIHC,BRCA,MB,HNSC,MDSC,stem
ENSG00000083635,55.1136777458807,1.0,1.0,15.6093786849937,1.0,45.037876807145,47.9457607922252,52.5368197753467,61.512802965623,59.4553168760261,1.0,38.4037791094169,1.0,37.076313043008,52.1225436180223,30.3315194067586,1.0,1.0,14.0815751863213,31.1710278826072,1.0,1.0,37.6288954945367,41.6694551377786,1.0,1.0,1.0,31.7929666443233,40.0878991603574,48.274192926712,18.1712894073015,26.2867839950673
ENSG00000136152,64.1371293513914,1.0,1.0,39.5839462209976,1.0,41.9182242158383,67.3913877622973,42.5044522638346,59.1009144833663,60.1090945344021,1.0,16.138100207895,1.0,38.1655185605659,1.0,1.0,72.9147162032833,47.8175169476381,1.0,47.0523367947352,61.779065807551,75.6498543406354,38.9002150876313,39.3119887617087,1.0,1.0,1.0,40.8757127542786,1.0,38.3763041897655,54.4412637955485,62.0620268001311
ENSG00000136141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.396129078365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.2604270030431,32.8086468138479
ENSG00000136161,1.0,1.0,1.0,11.6774326833257,1.0,1.0,87.6397433488833,59.3383552880297,89.0710874463893,95.610210940808,1.0,1.0,1.0,43.3456275806222,1.0,72.9321327942826,1.0,1.0,1.0,1.0,43.8730545479683,1.0,1.0,30.3783679823776,1.0,1.0,1.0,1.0,1.0,1.0,75.9907918319811,40.4889847435412
ENSG00000102543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.2214451138297
ENSG00000102547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.5418906235249,1.0,1.0,1.0,1.0
ENSG00000136169,1.0,1.0,1.0,42.956030757984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.3798646889699,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.2827013631855,1.0,1.0,1.0,1.0,33.1993807154455,1.0,1.0,12.2674000171311,42.5212186544994
ENSG00000136144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0043214296478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.3698819583964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29.2580749468102
ENSG00000102796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29.4802032305195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.1709370413096,1.0,1.0,1.0,37.5194362301751
ENSG00000253710,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.7902123411563,1.0,1.0,1.0,1.0,1.0,1.0,30.0778116335574,1.0,13.2751619767676,17.4129764413402,1.0,1.0,1.0,1.0,1.0,1.0,11.1030819720404,46.6483631920293
ENSG00000136098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.5118957483328,21.9893472946336
ENSG00000083535,65.5948291248236,122.414709829537,1.0,86.8978510668079,1.0,50.9969259265414,1.0,44.5967915284652,1.0,1.0,1.0,40.8061362288747,1.0,42.4951655798921,139.918098355311,70.9137749417314,46.0918339928304,71.4232131038356,1.0,39.6956235098336,100.261940758766,1.0,27.690965041145,36.6222667826231,1.0,1.0,1.0,40.9292690110657,58.5569316323397,53.0574264360172,16.0844017106442,54.359345813055
ENSG00000118922,1.0,1.0,1.0,134.168286856596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39.9139021565612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.2573703657863,1.0,1.0,27.9583385440078,1.0,1.0,1.0,13.50377086809,66.0571000278979
ENSG00000136160,1.0,1.0,1.0,12.4103265521318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.4103119688561,1.0,1.0,1.0,1.0,1.0,39.8210367303876,1.0,1.0,11.6953229679981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.3313010261438,1.0
ENSG00000136158,13.3603003469451,1.0,1.0,16.9373575275981,1.0,72.8661018263344,48.2495169673613,50.7812425089884,52.6731618812604,54.0534402684677,1.0,35.7561782471784,1.0,32.0136279062996,14.9168679432496,46.6344563030947,1.0,44.1309083841274,85.8644789515682,71.7250472042796,1.0,50.301538005041,76.4592194006956,41.2257812901816,1.0,65.8001459159132,35.5708814020551,39.5648840648912,54.1531782142652,56.9433780647792,19.9816809422566,31.8018704798597
ENSG00000088451,1.0,1.0,1.0,34.8954667425766,1.0,1.0,1.0,49.3797928584704,1.0,1.0,1.0,48.3352009482736,1.0,25.5235453044123,1.0,1.0,1.0,1.0,1.0,44.3742233619405,1.0,1.0,38.5621867193673,1.0,1.0,1.0,1.0,34.6642327903432,1.0,1.0,15.1671366662669,25.4003281436534
ENSG00000152749,1.0,1.0,1.0,24.3548012436691,1.0,1.0,55.6118335162214,74.0201130199295,51.9461419869795,46.5340620764912,1.0,13.8632888852317,105.783071930422,27.715776888092,1.0,37.4540613023767,1.0,1.0,57.1513295323657,51.119779398893,35.2593150858006,1.0,30.8315615214436,51.4589502092715,1.0,54.0954274278868,53.9592076374168,38.6262645588508,65.9193414735709,46.7257454187027,16.0361246030454,30.6974048558306
ENSG00000125257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.98173642735913,29.6031448012735
ENSG00000125249,1.0,1.0,1.0,32.2586351686587,61.7068479654704,1.0,1.0,1.0,1.0,1.0,1.0,40.0388536201668,1.0,1.0,13.7525662164538,34.3642339882485,1.0,1.0,77.2005464528375,61.4737862720302,46.5639641415739,1.0,33.2103988723562,25.4667141004629,1.0,1.0,1.0,38.9773940055464,1.0,1.0,15.7091569197626,41.6715495202505
