Hugo	Patient-01	Patient-02
ANGEL2	502.0	2007.0
ANGPT1	176.0	291.0
ANGPT2	298.0	1194.0
ANGPT4	0.0	0.0
ANGPTL1	31.0	43.0
ANGPTL2	5653.0	10107.0
ANGPTL3	0.0	22.0
ANGPTL4	2548.0	2407.0
ANGPTL5	2.0	3.0
ANGPTL6	13.59	10.4
ANGPTL7	181.0	3.0
ANG	330.07	215.66
ANK1	149.0	314.0
ANK2	161.0	297.0
ANK3	375.0	183.0
ANKAR	38.0	57.0
ANKDD1A	190.0	294.0
ANKFN1	0.0	13.0
ANKFY1	2454.0	2639.0
ANKHD1-EIF4EBP3	536.77	299.85
ANKHD1	1378.97	1192.44
ANKH	11317.0	3995.0
ANKIB1	1264.0	2324.0
ANKK1	44.0	34.0
ANKLE1	45.0	234.72
ANKLE2	4426.0	6068.0
ANKMY1	288.0	192.0
ANKMY2	516.0	1235.0
ANKRA2	303.0	1369.0
ANKRD10	2184.0	2097.0
ANKRD11	3820.46	1749.16
ANKRD12	578.0	496.0
ANKRD13A	1717.0	2457.0
ANKRD13B	352.0	135.0
ANKRD13C	490.0	1320.0
ANKRD13D	2109.0	836.0
ANKRD16	239.83	371.0
ANKRD17	1576.0	2485.0
ANKRD19	255.0	174.0
ANKRD1	2048.0	582.0
ANKRD20A3	26.0	9.0
ANKRD20A4	0.0	0.0
ANKRD20B	9.0	4.0
ANKRD22	301.65	888.0
ANKRD23	625.0	116.0
ANKRD24	25.0	4.0
ANKRD26P1	0.0	2.0
ANKRD26	199.0	468.0
ANKRD27	1683.0	1724.0
ANKRD28	820.0	1058.0
ANKRD29	40.0	977.0
ANKRD2	65.0	56.0
ANKRD30A	0.0	0.0
ANKRD30B	0.0	0.0
ANKRD31	0.0	3.0
ANKRD32	138.0	492.0
ANKRD33	1.0	0.0
ANKRD34A	56.0	25.0
ANKRD34B	0.0	7.0
ANKRD34C	0.0	2.0
ANKRD35	118.0	24.0
ANKRD36BP1	9.0	191.0
ANKRD36B	17.0	28.0
ANKRD36	304.0	160.0
ANKRD37	237.16	701.18
ANKRD39	376.0	776.0
ANKRD40	1407.0	3685.0
ANKRD42	251.0	154.0
ANKRD43	14.0	34.0
ANKRD44	38.0	40.0
ANKRD45	2.0	8.0
ANKRD46	345.4	2135.53
ANKRD49	417.0	1750.0
ANKRD50	987.0	1776.0
ANKRD52	2623.0	1325.0
ANKRD53	32.0	5.0
ANKRD54	841.0	1777.0
ANKRD55	0.0	1.0
ANKRD56	21.0	38.0
ANKRD57	1615.0	2739.0
ANKRD58	23.0	13.0
