,Cancer,predicted_label,ITH,MCE,Scent,B,CD4T,CD8Tex,CD8T,DC,Fibroblasts,Monocytes,Neutrophil,NK,Treg,PRAD,STAD,KICH,SKCM,DLBC,THCA,ESCA,PAAD,LUAD,UVM,COADREAD,KIRC,OV,GBM,CESC,CHOL,LIHC,BRCA,MB,HNSC,MDSC,stem
TCGA-Q1-A73Q-01,CESC,MCSC,1.59673301313154,0.870295541639683,0.966004239921965,0.0,0.0,0.0,0.0235407125661594,0.0,0.0,0.351674739646199,0.0,0.0,0.0,0.0,0.0416031943948968,0.0,0.0,0.0,0.0110549714225582,0.0975650267155274,0.0254134787227593,0.0156635891729149,0.0266381586393248,0.0,0.0,0.014515457503586,0.0056429393413017,0.104812019297048,0.0,0.0,0.0160698775546249,0.0,0.143694879668215,0.0177687469066679,0.104342208448217
TCGA-Q1-A73R-01,CESC,UCSC,1.71577006382679,0.867951837585235,0.964538295760912,0.0,0.0,0.0023112434265959,0.0,0.0,0.0395428262020009,0.253772504666635,0.0,0.0170854935773402,0.0,0.0,0.0513533018722881,0.0,0.0089072055444064,0.0,0.0442500671190593,0.0,0.0632559265727188,0.048387290403026,0.0423784905298478,0.0,0.0,0.0051138694327784,0.0328859163448145,0.053447886257699,0.0198757520091081,0.0,0.0520999273085485,0.0072686291717289,0.0963073984669549,0.0422312732597439,0.119524997834705
TCGA-Q1-A73S-01,CESC,iPCSC,1.84015676096217,0.872734738407818,0.968716082370102,0.0,0.0,0.0,0.004787553292405,0.0,0.0,0.311536141641488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0918059602075542,0.0523083984117628,0.0249620972820248,0.0186797824610199,0.0,0.0,0.0384919978572428,0.002377728311727,0.0697864010592206,0.0247829151416599,0.0,0.120773503614486,0.0,0.106246874851765,0.0068684801686998,0.126592165698944
TCGA-R2-A69V-01,CESC,iPCSC,1.54860542987767,0.868410696622233,0.965496875241746,0.0,0.0,0.0205563480357846,0.0272893474608131,0.0327893158092476,0.0,0.137067167794979,0.0,0.0,0.093273307182535,0.0,0.0394942984787385,0.0,0.0,0.0556960592008691,0.0,0.0376223855364388,0.0367806474517649,0.0,0.0552478434994048,0.0,0.0483354273997258,0.0166446791178232,0.0,0.0870551299332934,0.0412008306213179,0.0,0.0393734176483882,0.0,0.122560351421836,0.0840510454742817,0.0249623979327591
TCGA-RA-A741-01,CESC,iPCSC,1.43550211668312,0.867420806818601,0.965524597112202,0.0,0.0,0.0148469529786484,0.0100286998834913,0.0,0.0,0.253795170397863,0.0,0.0,0.0,0.0,0.05686194807448,0.0,0.0,0.0180511612872498,0.0,0.0372243672356467,0.0898446246533491,0.0147234453912383,0.0,0.0,0.014587115383186,0.0235115888801029,0.0,0.0877766197553001,0.0540905458686839,0.0,0.0665622963054069,0.0,0.169736818861064,0.0592510858713878,0.029107559172902
TCGA-UC-A7PD-01,CESC,iPCSC,1.65859098929456,0.871786018394738,0.967273184490724,0.0,0.0,0.0,0.0026313609249879,0.0,0.0022070595103855,0.296286435011955,0.0,0.0,0.0,0.0,0.0435978737989672,0.0,0.0,0.0118852923855629,0.0,0.0770167053604469,0.0194475916705214,0.0075783540088369,0.0485449284586383,0.0,0.0004640223801587,0.0035276469475824,0.0,0.0859499921566951,0.0560887286384706,0.0,0.015061090204204,0.0,0.161902158489012,0.0580656731088958,0.10974508694468
TCGA-UC-A7PF-01,CESC,UCSC,1.47140747135665,0.869910266905242,0.965308785121074,0.0,0.0,0.0117089013812986,0.0187631203019426,0.0,0.0,0.289830520211109,0.0,0.121579472587749,0.0,0.0,0.0267311734903133,0.0,0.0,0.0014131002648523,0.0,0.0534244193725746,0.0549767983324573,0.0,0.0433965298100367,0.0,0.0102234648627973,0.0082307613938021,0.0,0.116494792132088,0.0,0.0,0.0,0.0,0.12650081550519,0.0607083060948539,0.0560178242589349
TCGA-UC-A7PG-06,CESC,ECSC,1.59499294914366,0.870256726433676,0.966463285320146,0.0,0.0,0.0162365316034646,0.0035302054502683,0.0,0.0,0.329349781849781,0.0,0.0,0.0,0.0,0.0005499887927762,0.0,0.0,0.0210788648682594,0.0,0.0573143662660235,0.0452402533672196,0.017369582059785,0.051713065343749,0.0,0.0,0.0,0.0,0.126736903703126,0.0176770977741272,0.0,0.0268538805608677,0.0,0.126516885375145,0.0642949631462052,0.0955376298392019
TCGA-UC-A7PG-01,CESC,MCSC,1.65075842268486,0.870723831700668,0.966511211126647,0.0,0.0,0.0,0.0270896641437463,0.0,0.0,0.337739673959929,0.0,0.0168348577240332,0.0,0.0,0.019047553236888,0.0,0.0,0.0235260579521856,0.0,0.0615682554000895,0.0452941776763365,0.0230724146582058,0.0087952725542682,0.0,0.0,0.0093508542313316,0.0,0.125982060029098,0.0019021781223848,0.0,0.0463954010685451,0.0,0.135493676505715,0.0581532815117379,0.0597546212255055
TCGA-UC-A7PI-01,CESC,MCSC,1.630272877972,0.866586580480098,0.965231699374069,0.0,0.0,0.0,0.0,0.0,0.0,0.405572168796109,0.0,0.0,0.0,0.0,0.0027189828718692,0.0,0.0147732022068895,0.0023305648108649,0.0,0.0,0.139386192196737,0.0436838443897024,0.0210044773407757,0.0,0.0015633423048461,0.0247331309023306,0.0075424458750175,0.0365431332888467,0.0033168982406006,0.0081099703764511,0.0876490866367392,0.0,0.105826499541745,0.0248152426362586,0.0704308175842157
TCGA-VS-A8EB-01,CESC,ECSC,1.60664692717161,0.871625018513827,0.966949897478223,0.0,0.0,0.0,0.0,0.0,0.0,0.315961363067283,0.0,0.0,0.0,0.0,0.0476492743429155,0.0,0.0,0.0,0.0,0.0703475094208309,0.0083671719574116,0.0,0.0621458399752314,0.0,0.0007396852063967,0.0323840498844291,0.0115104124058795,0.0906045947758617,0.0435172217400965,0.0,0.0490673008180928,0.0,0.132082548323194,0.0261928058663134,0.109430222216063
