Core_Human,PrC_Human,Myc_Human,Borac_TF,Borac_ES2,Merged
,NKX2-2,SCAMP4,,,SCAMP4
,NKX2-3,SEH1L,,,SEH1L
,NKX2-5,SESN2,,,SESN2
,NKX6-1,SF3A1,,,SF3A1
,NKX6-2,SF3A2,,,SF3A2
,NOL3,SF3B3,,,SF3B3
,NOL4,SFRS1,,,SFRS1
,NPAS2,SGOL2,,,SGOL2
,NPTX1,SLBP,,,SLBP
,NR2E1,SLC16A1,,,SLC16A1
,NR2F2,SLC25A10,,,SLC25A10
,NRN1,SLC33A1,,,SLC33A1
,NRP1,SLC3A2,,,SLC3A2
,NRP2,SLC5A5,,,SLC5A5
,NTF3,SLC6A9,,,SLC6A9
,NTN1,SLC7A6,,,SLC7A6
,NTRK3,SLC9A8,,,SLC9A8
,OCLN,SMARCAD1,,,SMARCAD1
,OLIG1,SNRPA,,,SNRPA
,OLIG2,SNRPA1,,,SNRPA1
,OLIG3,SNRPE,,,SNRPE
,ONECUT1,SNX5,,,SNX5
,ONECUT2,SOD1,,,SOD1
,OSR1,SOS1,,,SOS1
,OSR2,SP1,,,SP1
,OTP,SPHK2,,,SPHK2
,OTX1,SS18,,,SS18
,OVOL1,ST13,,,ST13
,PANK4,STC2,,,STC2
,PAQR9,STX12,,,STX12
,PAX1,SUMF1,,,SUMF1
,PAX2,SUPV3L1,,,SUPV3L1
,PAX3,SUZ12,,,SUZ12
,PAX5,TACC3,,,TACC3
,PAX6,TAF12,,,TAF12
,PAX7,TAF15,,,TAF15
,PAX8,TARBP2,,,TARBP2
,PCDH1,TBC1D17,,,TBC1D17
,PCDH10,TBRG4,,,TBRG4
,PCDH18,TCEA1,,,TCEA1
,PCDH7,TCP1,,,TCP1
,PCDH8,THRAP3,,,THRAP3
,PCDHGC3,TIAL1,,,TIAL1
,PCDHGC3,TIMM9,,,TIMM9
,PDGFRA,TM9SF4,,,TM9SF4
,PDX1,TNFAIP1,,,TNFAIP1
,PFDN4,TNPO3,,,TNPO3
,PFTK1,TOE1,,,TOE1
,PHLDA2,TOMM20,,,TOMM20
,PHOX2B,TOPORS,,,TOPORS
,PHPT1,TRAPPC4,,,TRAPPC4
,PINX1,TRAPPC6B,,,TRAPPC6B
,PITX1,TRIM8,,,TRIM8
,PITX2,TRIP13,,,TRIP13
,PITX3,TRNT1,,,TRNT1
,PKP1,TUBA3C,,,TUBA3C
,PLXNC1,UBE2I,,,UBE2I
,PODXL,UBQLN4,,,UBQLN4
,POU3F2,UNG,,,UNG
,POU3F3,VPS16,,,VPS16
,POU3F4,WBSCR16,,,WBSCR16
,POU4F1,WDR23,,,WDR23
,POU4F2,WDR34,,,WDR34
,POU4F3,WEE1,,,WEE1
,PPM1L,XPO5,,,XPO5
,PPP1R14C,XRN2,,,XRN2
,PRDM16,ZBTB37,,,ZBTB37
,PRDM8,ZCCHC7,,,ZCCHC7
,PRKAG2,ZDHHC16,,,ZDHHC16
,PROX1,ZFP36L2,,,ZFP36L2
,PTGER4,ZGPAT,,,ZGPAT
,PTPRT,ZMYND12,,,ZMYND12
,PTPRU,ZNHIT1,,,ZNHIT1
,PUNC,ZNHIT2,,,ZNHIT2
,RAB20,,,,ZFP36L1
,RASGRF1,,,,KLF5
,RAX,,,,ETV1
,RELN,,,,ETV4
,REM1,,,,FOXO1A
,RGS20,,,,HHEX
,RNF150,,,,HMGB3
,RSRC1,,,,IFI16
,RTN4RL1,,,,ILF3
,RTN4RL2,,,,JARID2
,RYR2,,,,MYBL2
,SCARF2,,,,NFYB
,SEMA6A,,,,NPM1
,SEMA6D,,,,POU5F1
,SERPINE2,,,,REST
,SFRP5,,,,SALL2
,SFXN3,,,,SALL1
,SHC3,,,,SOX2
,SHH,,,,STAT3
,SHOX2,,,,TAF12
,SIDT1,,,,TAL1
,SIM1,,,,TCF20
,SIX1,,,,TEAD4
,SIX2,,,,TFAM
,SIX3,,,,TLE3
,SIX6,,,,ZIC1
,SLC16A2,,,,ZIC2
,SLC23A3,,,,ZIC3
,SLC30A3,,,,ZNF195
,SLC32A1,,,,DEK
,SLIT2,,,,MYST3
,SLITRK3,,,,MLLT10
,SLITRK4,,,,EOMES
,SLITRK5,,,,UTF1
,SMARCA2,,,,HESX1
,SOX18,,,,FUBP1
,SOX21,,,,MSC
,SOX3,,,,CRSP2
,SOX9,,,,NFE2L3
,SPON1,,,,ZFHX1B
,SRD5A2,,,,G3BP2
,SSTR1,,,,MED12
,SSTR4,,,,HMGA1
,ST8SIA2,,,,CEBPZ
,ST8SIA3,,,,ZNF267
,STIL,,,,HMG20A
,STXBP6,,,,POLR3G
,TACSTD2,,,,MYST2
,TBR1,,,,PSIP1
,TBX15,,,,WDHD1
,TBX2,,,,MTF2
,TBX20,,,,PHF8
,TBX3,,,,COMMD3
,TBX4,,,,FOXD3
,TBX5,,,,ZNF589
,TCF21,,,,SALL4
,TDRD6,,,,MRS2L
,THBD,,,,ARID1B
,TIAM2,,,,MTA3
,TITF1,,,,ZNF398
,TLX1,,,,PRDM14
,TLX2,,,,TBL1XR1
,TLX3,,,,LIN28
,TMEFF2,,,,NANOG
,TNFAIP2,,,,PHF17
,TNXB,,,,TCF7L1
,TOX,,,,ZNF206
,TRHDE,,,,IRX2
,TRPC5,,,,CDC25A
,TWIST2,,,,CYP26A1
,UBE2J1,,,,DNMT3A
,UCN,,,,DTYMK
,UNC5B,,,,EPHA1
,UNC5C,,,,ETV4
,UNC5D,,,,GPR19
,VAX1,,,,GPR23
,VAX2,,,,HELLS
,VGLL2,,,,MYBL2
,VSX1,,,,ORC1L
,WBSCR17,,,,ORC2L
,WDR8,,,,POU5F1
,WNT1,,,,PWP2
,WNT16,,,,RBM4
,WNT2B,,,,TDGF1
,WNT3,,,,ZIC3
,WNT5A,,,,HESX1
,WT1,,,,SLC5A6
,ZADH2,,,,CLDN6
,ZAR1,,,,RRP9
,ZC3HAV1,,,,GDF3
,ZEB2,,,,GJA7
,ZFPM1,,,,CHEK2
,ZFPM2,,,,WSCD1
,ZIC1,,,,NCAPH
,ZIC4,,,,PRKD3
,ZNRF4,,,,GOLGA7
,,,,,L1TD1
,,,,,ERCC6L
