,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
500,gsea,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),-0.5021253221135697,-1.5939355446812171,0.025974025974025976,0.7671853389151663,1.0,31/56,31.13%,RPL39;KRT6A;CXCL3;ROMO1;CXCL1;F2;S100A9;PGLYRP3;RNASE7;RPS19;S100A7;RPL30;PGLYRP4;LEAP2;CXCL5;DEFB4A;REG1A;PF4;HMGN2;REG3A;S100A12;GALP;REG1B;NRG1;CXCL2;CXCL6;CXCL11;PLA2G1B;DEFA6;REG3G;GAPDH
501,gsea,Neural Crest Cell Development (GO:0014032),0.4349212522778078,1.5937427065679086,0.012145748987854251,0.2586515230281221,1.0,16/44,25.79%,SOX8;SEMA6A;SEMA6B;CDH2;TAPT1;FAM172A;SEMA5B;SEMA5A;SEMA4D;SEMA6D;CORO1C;KBTBD8;SEMA3G;RADIL;SEMA6C;ERBB4
502,gsea,DNA Strand Elongation Involved In DNA Replication (GO:0006271),-0.7620868581890112,-1.5937314122188853,0.041407867494824016,0.757442015634338,1.0,11/12,23.08%,POLE;MCM4;RFC3;PCNA;LIG3;MCM3;RFC4;POLD3;MCM7;POLD2;POLE3
503,gsea,"Chemical Synaptic Transmission, Postsynaptic (GO:0099565)",0.5459851293476617,1.593227146623926,0.05307855626326964,0.25908885918206237,1.0,14/22,28.87%,NLGN3;MEF2C;ARRB2;GRID2;GRIN1;GRIN2A;MAPK8IP2;CHRNA4;LRRK2;GRIN2C;RAB3GAP1;NPFF;GRIN2B;GLRA1
504,gsea,Activation Of Protein Kinase B Activity (GO:0032148),0.4840053418792294,1.5930936300293022,0.031185031185031187,0.25874964991093496,1.0,11/24,30.96%,PINK1;CCDC88A;NTRK3;FGF1;MT3;OSBPL8;INSR;PDGFB;PARK7;ITGB1BP1;PDPK1
505,gsea,rRNA Metabolic Process (GO:0016072),-0.5438215623392962,-1.59295061639319,0.0482897384305835,0.751380241082109,1.0,52/81,26.57%,SIRT7;ERN2;NOP58;NOC4L;DKC1;FBL;DEDD2;EXOSC3;DDX27;NOP14;LYAR;EMG1;RRP12;EBNA1BP2;NOB1;RPS17;EXOSC5;EXOSC4;RPL35A;NOLC1;RPL27;NOL6;NOP56;RPS19;DCAF13;RPS16;IGF2BP3;DDX54;RRP9;WDR74;BYSL;GTF3A;RPS15;NVL;RRP7A;MRTO4;WDR18;RPL14;XRN2;RPS28;RPS24;RPS6;RPS7;ZFP36L1;UTP15;RPL7;DDX47;RPL11;DDX10;UTP20;WDR55;POP4
506,gsea,Regulation Of Ventricular Cardiac Muscle Cell Membrane Repolarization (GO:0060307),0.5553593066597863,1.5926361435564131,0.02040816326530612,0.25915334669136464,1.0,9/16,33.37%,ANK2;SCN4B;SCN1B;SNTA1;KCNH2;CACNA2D1;GJA5;NOS1AP;KCNE1
507,gsea,Cardiac Muscle Cell Contraction (GO:0086003),0.57456911314323,1.5921998533035564,0.053169734151329244,0.2593796873235115,1.0,9/18,20.65%,SCN4B;SCN1A;SCN3B;SCN2B;FGF12;CAMK2D;SCN1B;CACNA1G;CACNA2D1
508,gsea,Negative Regulation Of Neuron Death (GO:1901215),0.39276701215104115,1.5920611986511457,0.006355932203389831,0.2591046739834519,1.0,35/83,27.86%,PINK1;MEF2C;PTPRZ1;NTRK2;MT3;CPEB4;CNTFR;MAG;CD200;CLU;AGAP2;SORL1;TYRO3;CSF1;SOD2;TNFRSF1B;HTRA2;CNTF;PRKCG;CCL2;LIG4;SNCA;NRBP2;BCL2;PPT1;PTK2B;PPARGC1A;CD200R1;APOE;CDK5;PARK7;BDNF;F2R;NAIP;NGF
509,gsea,Endocardial Cushion Morphogenesis (GO:0003203),0.5509362682612775,1.5917911701544902,0.03966597077244259,0.2590337048988404,1.0,13/21,31.61%,APC;HEY1;NOG;ENG;NOTCH1;BMP2;TGFBR2;ACVRL1;ADAMTS5;TGFB2;HEYL;TBX2;BMPR1A
510,gsea,Positive Regulation Of Transcription By RNA Polymerase I (GO:0045943),-0.5822300162634151,-1.591488230531374,0.05846774193548387,0.7494343884867931,1.0,17/31,23.72%,CARM1;SIRT7;LYAR;HEATR1;WDR43;DDX21;DDX11;IPPK;NOL11;WDR75;DEK;MYBBP1A;ERBB2;ERCC6;PHF8;NCL;UTP15
511,gsea,Positive Regulation Of Cytoplasmic Transport (GO:1903651),0.7106323130971248,1.5912477419155902,0.031055900621118012,0.25956383502945296,1.0,7/9,25.80%,RDX;VPS11;SORL1;NF2;MSN;MTMR2;RAB21
512,gsea,Peroxisomal Membrane Transport (GO:0015919),0.6317958178804124,1.5909169058324175,0.01882845188284519,0.2595915336363123,1.0,7/17,21.47%,RAB8B;PEX12;ABCD4;ABCD2;PEX5;TRIM37;PEX10
513,gsea,Positive Regulation Of Glial Cell Differentiation (GO:0045687),0.5438319570387505,1.5907911542896935,0.043933054393305436,0.25925035206052793,1.0,8/16,18.77%,PTPRZ1;PTN;ZNF365;ID2;TNFRSF1B;NOTCH1;BMP2;CXCR4
514,gsea,Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281),0.47196380254269027,1.5905363092234606,0.037037037037037035,0.2591982450535773,1.0,19/31,33.85%,TRPC1;CALM1;CX3CL1;PKD2;APLNR;CALM3;PLCG1;THY1;SNCA;F2RL3;F2R;CD19;GSTM2;PDPK1;DRD1;HTT;CAPN3;CALM2;CXCL9
515,gsea,Maintenance Of Synapse Structure (GO:0099558),0.6331731722086849,1.5897046300115993,0.03765690376569038,0.2602075625319363,1.0,4/10,13.31%,NLGN1;ERC2;RAB3A;DCTN1
516,gsea,Regulation Of Kinase Activity (GO:0043549),0.40937144605851206,1.5888934858747175,0.01867219917012448,0.2612185098005419,1.0,35/79,34.18%,NTRK3;MAPT;CSF1R;TSPYL2;NTRK2;LDB2;TREM2;MERTK;TIE1;FLT1;TEK;CD4;TYRO3;KDR;FLT4;CDKN1B;DDR1;CD74;HLA-DRB1;FGR;CCNY;AXL;DSTYK;RBL2;PDGFRA;INSR;RB1;MYCNOS;ERBB4;EGFR;INSRR;SLAMF8;ANKRD54;DDR2;IRS2
517,gsea,Translation (GO:0006412),-0.5566826952508392,-1.58883319216692,0.07495069033530571,0.7551960796318659,1.0,123/214,25.03%,RPS6KB2;MRPL14;YARS2;RRBP1;EIF5AL1;EIF4G1;MRPS12;MRPL12;RPL39;RPL28;RPS2;MRPL3;EIF5A;MRPS34;RPS21;MRPS15;MRPL13;RPL8;MRPL37;MRPL11;DAP3;MRRF;RPL37;RPL18;RPL38;MRPL9;RPL22L1;RPLP1;RPS17;RPL29;MRPS18A;MRPL47;RPL35A;CHCHD1;RPL35;IARS2;FTSJ1;MRPS10;MRPL2;RPL27;RPL36;MTG1;MRPL4;RPS3;RPL21;RPS5;MRPL36;RPS19;RPS16;RPS26;RPLP0;RPL30;RPLP2;IGF2BP3;MRPL23;RPS29;RPL41;MRPL17;MRPS16;GTPBP2;MRPL38;MRPS30;MRPL55;MARS2;RPL18A;RPS20;MRPL42;RPS15;MRPS24;AURKAIP1;MRPL48;MRPS2;RPL10A;RPL37A;MRPS22;MRPL52;RPS4X;MRPL18;RPL23A;UBA52;EEF1D;PABPC4;RPL14;GSPT1;FARSB;MRPL24;MRPL41;MRPL27;MRPL21;RPS28;RPL13;GATC;RPS10;RPL12;RPS15A;MRPL22;RPL32;RPL27A;RPS24;RPS9;APEH;MRPS17;MRPL51;RPS8;RPS6;RPS18;RPS7;MRPS9;ZC3H15;ABCF1;RPL19;MRPS23;RARS2;ABCE1;RPL7;MRPS26;RPL11;MRPL53;EEF2K;COPS5;RPL31;TUFM;RPS14
518,gsea,Regulation Of Transcription From RNA Polymerase II Promoter In Response To Hypoxia (GO:0061418),0.7019330495436096,1.5884589352510898,0.039761431411530816,0.26153701793696554,1.0,4/7,19.78%,SIRT2;STOX1;VEGFA;RBPJ
