,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
31,gsea,L-glutamate Transmembrane Transport (GO:0015813),0.7533919841203125,1.8812171304080931,0.00196078431372549,0.12695128967624886,0.776,10/14,17.32%,SLC25A18;SLC1A3;SLC1A2;SLC17A7;SLC1A4;SLC25A22;SLC1A6;SLC7A11;SLC25A13;SLC17A8
32,gsea,Long-Chain Fatty Acid Biosynthetic Process (GO:0042759),0.6555646535290118,1.8800268846824397,0.0017889087656529517,0.12496300461011242,0.778,15/24,20.04%,FADS1;ACSBG1;CYP2C9;LOC344967;CYP2C8;CYP2E1;ALOX12;CYP1A2;ALOXE3;CYP3A4;ALOX12B;GSTP1;GSTM2;CYP1A1;GSTM1
33,gsea,acyl-CoA Metabolic Process (GO:0006637),0.6807910011675316,1.87976521450557,0.012244897959183673,0.12133373188423062,0.778,14/29,13.77%,ACSL6;ACSM2A;ACSM2B;ACSM5;GLYAT;HMGCS1;ACOT12;BAAT;LOC344967;HMGCS2;ACOT7;MLYCD;ACOT1;OGDH
34,gsea,Carboxylic Acid Biosynthetic Process (GO:0046394),0.7051053434793241,1.8713367752992431,0.01616161616161616,0.13017421823539518,0.801,8/17,5.87%,CYP4A11;FADS1;PAH;CDO1;CYP2C9;CYP4A22;CYP2C8;RGN
35,gsea,Cilium Assembly (GO:0060271),-0.5599190904240788,-1.8685776027427772,0.0,1.0,0.836,102/188,23.48%,INTU;TTC8;NPHP3;CCDC57;KIAA0753;STK36;KIF27;PHIP;CCDC66;IFT140;ALPK1;TTLL3;PIBF1;ARF4;WDR19;UBXN10;TRAF3IP1;RILPL2;FNBP1L;WDR90;PARVA;C2CD3;IFT172;RAB23;BBS5;TCTN1;TCTN3;TMEM67;OFD1;FBF1;IFT52;FBXW8;AHI1;TCTN2;RPGR;IFT20;CEP290;TXNDC15;CC2D2B;CDC14A;KIAA0586;BBS1;CEP164;IFT74;BBS9;SPATA6;RSPH6A;GBF1;ARMC9;CCDC40;TMEM80;DYNC2LI1;TMEM216;TTC30A;IFT57;MAK;DNMBP;OCRL;CCDC96;PTPN23;B9D1;CCNO;GAS8;HSPB11;IFT88;IFT81;BBS4;FHDC1;IFT27;IFT80;IFT122;WDR35;TMEM107;IFT46;CCDC65;GSN;ARL13B;CENPJ;POC1B;TMEM138;DYNC2H1;CSNK1D;IQUB;CCDC39;RSPH1;GORAB;RPGRIP1L;TEKT4;EHD4;RABL2B;CLUAP1;RILP;TEKT2;MKS1;TTC26;LRRC43;PTPDC1;FAM149B1;TTBK2;DNAH5;ZMYND10;FUZ
36,gsea,Transport Across Blood-Brain Barrier (GO:0150104),0.48303448979494706,1.8666985836899535,0.0019342359767891683,0.13426325476223008,0.821,42/85,22.89%,SLC6A1;SLC1A3;SLC1A2;ATP1B2;SLC38A3;ATP1A2;SLC16A1;SLCO1C1;ABCB1;SLC7A5;FABP5;SLC22A2;SLC22A1;SLCO2B1;SLC2A1;SLC1A4;SLC16A12;ABCG2;SLC6A13;SLC8A2;SLC6A9;MFSD2A;TFRC;ABCC2;SLC22A3;SLC38A2;SLC22A8;SLC6A17;ABCC5;SLC7A1;SLC2A13;SLC13A3;AVPR1B;SLC5A6;SLC29A4;LEPR;SLC9A3R1;SLC1A5;LRP2;SLC38A5;SLC22A5;SLC16A7
37,gsea,Long-Chain Fatty Acid Metabolic Process (GO:0001676),0.5481974070472632,1.8651805540862645,0.013409961685823755,0.13294895530670764,0.825,36/75,20.92%,ABHD6;ACSL6;GSTA1;CYP4A11;FADS1;ACSBG1;CYP2J2;CYP4F2;CYP2C9;CYP4A22;CYP2C8;SLC27A2;EPHX1;CYP2E1;PNPLA3;ALOX12;CYP1A2;ALOXE3;PLA2G4C;ACAA1;CYP3A4;PNPLA8;ALOX12B;GSTP1;CYP4F11;PTGR1;ACOT1;ACAD9;ACSL1;GSTM2;AIG1;CPT2;ACADL;CYP4F12;CYP1A1;RAPSN
38,gsea,Acylglycerol Homeostasis (GO:0055090),0.7852125102758925,1.8606171314033515,0.011516314779270634,0.13712602610259944,0.838,15/22,11.95%,PLA2G12B;ANGPTL3;APOC2;APOC3;LIPC;APOE;APOA1;APOA5;APOC4;MLXIPL;SCARB1;GCKR;ANGPTL4;HNF4A;PNPLA8
39,gsea,Arachidonic Acid Metabolic Process (GO:0019369),0.5655683089168193,1.8598630611737919,0.005545286506469501,0.13497047953178093,0.839,25/50,20.28%,ABHD6;CYP4A11;CYP2J2;CYP4F2;CYP2C9;CYP4A22;CYP2C8;EPHX1;CYP2B6;CYP2E1;ALOX12;CYP1A2;ALOXE3;PTGES2;CBR1;PLA2G4C;CYP2A6;PNPLA8;ALOX12B;CYP4F11;PTGDS;AKR1C3;CYP4F12;CYP1A1;CYP2A13
40,gsea,Regulation Of Trans-Synaptic Signaling (GO:0099177),0.6921873935431225,1.855740358085809,0.01020408163265306,0.13873514421593605,0.843,21/36,13.97%,GRIA3;GRIA4;LRRC4;NLGN3;GRIA1;GRID2;FABP5;NLGN1;GRIK2;NLGN2;GRIK4;GRIA2;NLGN4X;CACNA1B;CX3CR1;LRRC4C;GRIK3;NRG3;BCR;CACNA1A;NLGN4Y
