,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SNORD87,0.5086240471738306,-0.4891379784610226,1.5318662947846016,-0.31930853242632457,0.7494925631443579,0.7784839574525546
SNORD88A,0.7151212511162606,-0.3843307559404006,1.337285606684482,-0.2873961657998158,0.7738089966765651,0.8012875619838628
SNORD88B,5.230143458198516,-4.912375596531948,0.7134834422484175,-6.885059001581678,5.776358880089754e-12,1.1984914234999679e-11
SNORD88C,2.0472936436318943,-1.3916894873161043,0.8541527342868481,-1.6293215855335965,0.10324495894376033,0.12180188340238206
SNORD89,23.922075234877934,0.3667622535106319,0.3058614473901291,1.1991123975910023,0.23048424406829982,0.2602938636057357
SNORD8,0.7541230546327359,1.4074534822827496,0.967606699006879,1.4545718665727672,0.14578782426457054,0.16906138189842004
SNORD90,0.02987852989256627,-0.22806270528502734,3.3750269769311814,-0.06757359477238858,0.9461250756595431,0.9561782418060744
SNORD91A,0.08543271711213539,-0.2128275171441184,3.375030879700832,-0.0630594281149166,0.9497191816411827,0.9588107843422763
SNORD91B,0.06649366052782793,-0.1925821565076794,3.37503612637187,-0.057060768921221375,0.95449678734513,0.9629654329428885
SNORD92,0.050925935339237394,-0.11021987153287466,3.374996446619606,-0.03265777409729447,0.9739474973034,0.9782731622637881
SNORD93,0.0,,,,,
SNORD94,56.77327596419135,0.02020384940523546,0.13110310225507088,0.15410657000264846,0.8775257080527727,0.8957002287601493
SNORD95,0.0,,,,,
SNORD96A,0.0,,,,,
SNORD96B,0.0,,,,,
SNORD97,85.48130693673231,0.7263924350697433,0.11795220636175668,6.1583624204698175,7.350099728389795e-10,1.4047317358839988e-09
SNORD98,0.0,,,,,
SNORD99,0.5368338254923835,-0.40849129199029804,1.4270547888508847,-0.28624779874025,0.7746883365096326,0.8020349135970022
SNORD9,0.3540327081922096,-0.10315234710969212,1.6338976089173356,-0.06313268747485568,0.9496608453662531,0.9587994467551942
SNPH,26318.393920570536,0.07470726705065091,0.041030184976346196,1.8207879660722825,0.06863909427393747,0.08259903777058787
SNRK,110642.95522572141,0.11728084046867204,0.02053600858266686,5.710985170100744,1.1232403491402426e-08,2.0380133772865482e-08
SNRNP200,639374.0747203099,-0.05565754732676432,0.012905042326769253,-4.31285275301364,1.6116145744068865e-05,2.5013575604299046e-05
SNRNP25,67273.62104456741,-0.27162813081427817,0.019910855808339355,-13.642212742081679,2.2463947687223936e-42,1.1687913886138957e-41
SNRNP27,56702.720818991394,-0.018442516604949697,0.012261452358697019,-1.5041053918762293,0.13255423221150853,0.15447205098093694
SNRNP35,43850.62257122071,-0.04632729131018156,0.01584431711659212,-2.9239058376121343,0.0034566929507128664,0.004635188636854186
SNRNP40,76254.36530826591,-0.08496942913078627,0.013861525818730323,-6.129875617009762,8.79478029634305e-10,1.675486317407024e-09
SNRNP48,37914.64533220985,0.19240050144813675,0.015755380821261152,12.211732844216703,2.690960593306712e-34,1.1439392630777947e-33
SNRNP70,333668.35633467627,0.022307899130724645,0.016530920703314186,1.3494650135398851,0.17718765066822983,0.20301026972705602
SNRPA1,47163.212270389915,-0.2550660562675041,0.018107247527313533,-14.08640688667643,4.6039765257723464e-45,2.549913964777424e-44
SNRPA,142994.60259527492,-0.050800294868954064,0.015067347355265295,-3.371548665545423,0.0007474683152015101,0.0010485162017650957
SNRPB2,109773.90805080396,0.017056133761004844,0.014709790362246393,1.159508962464923,0.24624878542914785,0.2770060671285993
SNRPB,398529.0565978749,-0.1785935799820771,0.021195077917271918,-8.426181808774611,3.57127151502891e-17,8.965177653786191e-17
SNRPC,141467.09766655584,-0.1794442483247631,0.016560445395557406,-10.835713897701192,2.3313977779227456e-27,8.099209826222831e-27
SNRPD1,90718.83252174164,-0.1522682993658243,0.01724530129580895,-8.829552859295616,1.0509500985275711e-18,2.781669480550089e-18
SNRPD2,303835.11800099706,-0.09650074215297984,0.018985481584643783,-5.082870388235687,3.717734004174634e-07,6.281816197988585e-07
SNRPD3,178368.15603654002,-0.22446053682984324,0.014204267844637962,-15.802330629422476,2.9982371272864844e-56,2.14880698904187e-55
SNRPE,92369.72297846786,-0.13425581712418685,0.01895568941543124,-7.08261325567475,1.4146106343041458e-12,3.010873664187659e-12
SNRPF,89754.30825321405,-0.22474599964789566,0.018748837902429056,-11.987196263442977,4.147054463655463e-33,1.7055798454888523e-32
SNRPG,84672.09629190815,-0.17356445253080763,0.018412308688531494,-9.42654478951442,4.23820263896381e-21,1.2153335659829444e-20
SNRPN,270126.47623394977,0.1331812013634419,0.03572379697462836,3.7280807932602857,0.0001929435279671245,0.00028117509617261056
SNTA1,85293.60620072571,-0.1109029727686145,0.034696788617030495,-3.1963469009399654,0.0013917966664823748,0.0019151317840442304
SNTB1,116146.36638741249,-0.20498516407303607,0.03894936188713466,-5.2628632188386275,1.4182909610980953e-07,2.4424988765708294e-07
SNTB2,87476.83147077558,0.24610577673531764,0.018767565553739027,13.11335644629127,2.7610312639701916e-39,1.331391384668308e-38
SNTG1,859.4593727694655,-4.454439985593775,0.2488411337272468,-17.900738189355216,1.1636919580860635e-71,1.1520323985838394e-70
SNTG2,294.982243480132,0.37244297168794954,0.08920281668691789,4.175237795406638,2.97674942409864e-05,4.550413652129457e-05
SNTN,1630.601984318761,0.591538414456101,0.11790757847450833,5.016966865993196,5.249361656199651e-07,8.804013443497667e-07
SNUPN,48165.5594025053,0.0011255032037986834,0.012113766083660129,0.09291108941890819,0.925974195776213,0.938983598088334
SNURF,9350.541333408106,-0.025422383461511662,0.05751089122625514,-0.4420446791807969,0.6584568749952913,0.6917994752312062
SNW1,136803.9164242457,-0.05564771192628306,0.009888659905652561,-5.627427018141629,1.829175133115501e-08,3.2834492159302326e-08
SNX10,74904.38029942288,-0.3943475711198033,0.03686100905572534,-10.698230494006301,1.0374032165571377e-26,3.5333509152951777e-26
SNX11,59322.425872581814,-0.05267563862146323,0.013045800736482597,-4.037746680750362,5.396708334049396e-05,8.123399011332747e-05
SNX12,25557.254294097944,-0.06391496471325545,0.0157628220608817,-4.054791995138486,5.0178934052769456e-05,7.564936106288938e-05
SNX13,103946.77364714879,0.05328177318874376,0.01670947097260466,3.188716942391518,0.0014290573459472065,0.001964543645779376
SNX14,114892.9151517659,0.12506978989211637,0.014881355960758293,8.404461947010864,4.298276369931122e-17,1.0755731157312276e-16
SNX15,53814.19475855989,-0.16388522739557376,0.012957686455954225,-12.647722874963252,1.151644921674545e-36,5.235778587394168e-36
SNX16,25385.424245468643,0.10881575188101396,0.018700048401041256,5.819009103471352,5.9197510537763685e-09,1.0878531324355743e-08
SNX17,267146.84017692856,-0.09615675671321607,0.011196558964589168,-8.588063262769081,8.84475681019354e-18,2.267332243257926e-17
SNX18,85807.8650565371,0.06322167413801136,0.01875854102354955,3.3702873831521654,0.0007508982780357589,0.001053109870539505
SNX19,177623.46084118402,0.09126425758270376,0.01550913847641841,5.884547212049898,3.9914519247028996e-09,7.391685240233175e-09
SNX1,311855.25696471886,0.31775682905750074,0.019915673460391636,15.955113428097558,2.624963308440021e-57,1.9309180766168482e-56
SNX20,7917.4128880274475,0.21137120205138116,0.03970631830263718,5.323364418738932,1.0186538409088181e-07,1.7669746273954393e-07
SNX21,46656.25502267001,0.0014612121346558253,0.019521097852657113,0.07485296911499946,0.9403316967307498,0.9511734099621152
SNX22,76456.92102035451,0.4591741123550255,0.045882805647887576,10.007542169038341,1.4121727406191457e-23,4.369620547668302e-23
SNX24,25133.357643377996,-0.16538541553456207,0.022760706998265063,-7.266268817887274,3.695528211677871e-13,8.039512301511497e-13
SNX25,48612.99489020483,0.17728465952626024,0.027454496715867974,6.4573997243881145,1.0651728434556691e-10,2.1061325097820757e-10
SNX27,125260.62752719349,-0.005840605675867334,0.01543283070530914,-0.3784532978682953,0.7050938811571776,0.7364265628629513
SNX29,71237.429751027,-0.13991443885059274,0.023371804585701494,-5.9864628055374975,2.1445360111011117e-09,4.017846646718707e-09
SNX2,146082.11889548192,0.042199106958416645,0.014466571885662319,2.9170080715694486,0.003534066272220753,0.0047333279532000535
SNX30,80402.30726386557,-0.26582282881214786,0.023426205128424308,-11.347242430213774,7.653860931597308e-30,2.865305966557506e-29
SNX31,2178.5051199959294,-1.041021627681258,0.087696972124199,-11.870667851644102,1.6812013832396406e-32,6.798961445352602e-32
SNX32,2358.221475749627,-0.8936885742008635,0.07019045153312627,-12.732338297882137,3.909527560765002e-37,1.7926227522372348e-36
SNX33,98506.40450629927,-0.07024984806159083,0.017955770029054404,-3.9123829247043638,9.138984695608301e-05,0.00013577729525139515
SNX3,310477.3460953461,-0.11497788480297261,0.01459237329500796,-7.879313561852646,3.2918446598634176e-15,7.715592607883465e-15
SNX4,90986.59801825431,-0.0034047011665586505,0.014026177544821945,-0.24273906099353254,0.8082075459417535,0.8332196925542446
SNX5,232522.75427998588,0.09989452115369399,0.017067152818763556,5.853027872573471,4.827031909004837e-09,8.906663718238099e-09
SNX6,139422.92331102153,0.013116326161766095,0.014587980749758023,0.8991186913914498,0.36858944312738207,0.4051995422854299
SNX7,47552.987698384575,-0.17852211049299066,0.02696692563412735,-6.620039411057901,3.591031156083272e-11,7.240401005539268e-11
SNX8,56143.423611708364,-0.2582334176631524,0.024411058814222227,-10.57854227579436,3.7474302440163385e-26,1.2547326071180876e-25
SNX9,169774.1912535462,0.1887770525979809,0.01877189404213226,10.05636683087404,8.611797715361064e-24,2.6781440901216054e-23
SOAT1,94383.9164582356,-0.000629843843339086,0.025072757231881272,-0.02512064538870132,0.979958732738795,0.9834375330916789
SOAT2,1000.9735187119729,-1.9840801939949997,0.08822170316791898,-22.48970630524499,5.2344881702944915e-112,9.865071501682785e-111
SOBP,25355.611616699156,-0.12636844510634687,0.042275197104061836,-2.9891864204745553,0.002797214083483046,0.003773745307563725
SOCS1,17304.58152341494,-0.21210380839157555,0.03686748671770869,-5.753139887609833,8.760093823392835e-09,1.5978398573468748e-08
SOCS2,55049.22884785513,0.1908082155230761,0.03813456666423865,5.003550117746842,5.628402432106379e-07,9.428847992024136e-07
SOCS3,231767.32790423112,0.15158066200445275,0.03642973639010433,4.160904717543542,3.169893276424054e-05,4.8376702218141415e-05
SOCS4,58374.29266343654,0.11925648304930965,0.015391951147635748,7.747976972213027,9.33680664580195e-15,2.1534432007779366e-14
SOCS5,59876.5452124195,0.21806040498490126,0.015472638405787479,14.093291607159681,4.176325912452305e-45,2.3149492816463564e-44
SOCS6,81043.93512433404,0.05500816811043283,0.020566990891581056,2.674585135006309,0.007482177615024227,0.009763575020913138
SOCS7,8273.181618097333,0.05475177462813559,0.027979199319972354,1.9568742479722143,0.05036225492288938,0.06141473468938293
SOD1,485578.8432076812,-0.4698305741816272,0.022848025354912666,-20.563290126103027,5.852672771399654e-94,8.508950113504897e-93
SOD2,835423.7515001212,-0.791173554719338,0.03154953948227283,-25.077182352024046,8.823838315045091e-139,2.31145952463871e-137
SOD3,98655.84048106075,0.6282037279898696,0.04600782765232174,13.654279283455105,1.9036338627978945e-42,9.919755157037468e-42
SOHLH1,1468.736590772147,-3.058940819039969,0.15686558288552735,-19.50039494177783,1.0893787981594683e-84,1.3789313468742423e-83
SOHLH2,2892.3617666742425,-0.22384043142399362,0.07174035355374797,-3.1201467561250875,0.0018076095780877148,0.002467942403568376
SOLH,120680.45000875484,0.04755192003541119,0.02254195897010779,2.1094848100144428,0.03490275580627088,0.04319919073766114
SON,550986.1882596201,0.27172322731072135,0.015976249086080346,17.00794885249167,7.1704556239649126e-65,6.255784559373418e-64
SORBS1,196417.22224389625,0.10742875274764055,0.045799045993634296,2.3456548147874585,0.018993688785093134,0.024034662202784312
SORBS2,113454.66850091305,0.6575549316692209,0.0454620476450986,14.463821269170525,2.0508830812042918e-47,1.1940410250238032e-46
SORBS3,210148.6167317029,0.004225655447814045,0.021056791342134867,0.20067898186170763,0.8409495954236507,0.8631713598211289
